msg_count,send_time,recv_time,latency_us,payload_bytes
7,1755012070546622,1755012070876572,329950,256
8,1755012070552441,1755012070877981,325540,256
78,1755012070595329,1755012070879293,283964,256
79,1755012070595746,1755012070880633,284887,256
6,1755012070547974,1755012070882081,334107,256
80,1755012070596181,1755012070883222,287041,256
8,1755012070546893,1755012070884231,337338,256
9,1755012070552688,1755012070885336,332648,256
81,1755012070596572,1755012070886477,289905,256
82,1755012070596961,1755012070887707,290746,256
7,1755012070548259,1755012070888871,340612,256
83,1755012070597337,1755012070890468,293131,256
9,1755012070547141,1755012070891627,344486,256
10,1755012070552990,1755012070892774,339784,256
84,1755012070597713,1755012070895714,298001,256
85,1755012070598346,1755012070897023,298677,256
8,1755012070548553,1755012070898272,349719,256
86,1755012070599001,1755012070899376,300375,256
10,1755012070547371,1755012070900499,353128,256
11,1755012070553249,1755012070901523,348274,256
87,1755012070599443,1755012070902685,303242,256
88,1755012070600088,1755012070904244,304156,256
9,1755012070548781,1755012070905950,357169,256
89,1755012070600662,1755012070907622,306960,256
11,1755012070547590,1755012070909237,361647,256
12,1755012070553602,1755012070910529,356927,256
90,1755012070601208,1755012070911831,310623,256
91,1755012070601669,1755012070913091,311422,256
12,1755012070547819,1755012070914185,366366,256
92,1755012070602197,1755012070915940,313743,256
10,1755012070549853,1755012070917272,367419,256
13,1755012070553856,1755012070918684,364828,256
93,1755012070602817,1755012070919988,317171,256
94,1755012070603354,1755012070921413,318059,256
13,1755012070548043,1755012070922954,374911,256
95,1755012070603846,1755012070924322,320476,256
14,1755012070554075,1755012070925681,371606,256
11,1755012070550143,1755012070927368,377225,256
96,1755012070604366,1755012070928584,324218,256
97,1755012070604858,1755012070929968,325110,256
14,1755012070548283,1755012070932993,384710,256
98,1755012070605281,1755012070934956,329675,256
15,1755012070559839,1755012070936458,376619,256
12,1755012070550439,1755012070937591,387152,256
99,1755012070605748,1755012070938677,332929,256
15,1755012070548549,1755012070940332,391783,256
13,1755012070550719,1755012070941678,390959,256
16,1755012070560129,1755012070942977,382848,256
16,1755012070548773,1755012070944526,395753,256
14,1755012070550972,1755012070946076,395104,256
17,1755012070560388,1755012070947644,387256,256
17,1755012070549059,1755012070949089,400030,256
15,1755012070551210,1755012070950216,399006,256
18,1755012070560611,1755012070951317,390706,256
18,1755012070549307,1755012070952406,403099,256
19,1755012070560860,1755012070953421,392561,256
16,1755012070551513,1755012070954511,402998,256
0,1755012070550624,1755012070956367,405743,256
1,1755012070551040,1755012070958586,407546,256
2,1755012070551927,1755012070960128,408201,256
3,1755012070552275,1755012070961534,409259,256
20,1755012070561095,1755012071038378,477283,256
21,1755012070561487,1755012071040288,478801,256
22,1755012070561747,1755012071041630,479883,256
23,1755012070561999,1755012071043300,481301,256
24,1755012070562241,1755012071044805,482564,256
25,1755012070562514,1755012071046818,484304,256
26,1755012070562759,1755012071048528,485769,256
27,1755012070567990,1755012071050077,482087,256
28,1755012070568292,1755012071051678,483386,256
29,1755012070568531,1755012071053142,484611,256
30,1755012070568756,1755012071054963,486207,256
31,1755012070568981,1755012071056442,487461,256
32,1755012070569273,1755012071058335,489062,256
33,1755012070569530,1755012071060528,490998,256
34,1755012070570865,1755012071062330,491465,256
35,1755012070571314,1755012071064467,493153,256
36,1755012070571618,1755012071066158,494540,256
37,1755012070571923,1755012071067965,496042,256
38,1755012070572229,1755012071069930,497701,256
39,1755012070572478,1755012071071572,499094,256
40,1755012070572711,1755012071073791,501080,256
41,1755012070572946,1755012071075758,502812,256
42,1755012070573176,1755012071077626,504450,256
